energyType,epochTimestamp,kWh,dateTime
electricity,1672531200,1.139,2023-01-01T00:00:00Z
gas,1672531200,0.0,2023-01-01T00:00:00Z
electricity,1672533000,1.467,2023-01-01T00:30:00Z
gas,1672533000,0.0,2023-01-01T00:30:00Z
electricity,1672534800,0.056,2023-01-01T01:00:00Z
gas,1672534800,0.0,2023-01-01T01:00:00Z
electricity,1672536600,0.467,2023-01-01T01:30:00Z
gas,1672536600,0.0,2023-01-01T01:30:00Z
electricity,1672538400,0.366,2023-01-01T02:00:00Z
gas,1672538400,0.0,2023-01-01T02:00:00Z
electricity,1672540200,0.461,2023-01-01T02:30:00Z
gas,1672540200,0.0,2023-01-01T02:30:00Z
electricity,1672542000,1.375,2023-01-01T03:00:00Z
gas,1672542000,0.0,2023-01-01T03:00:00Z
electricity,1672543800,0.458,2023-01-01T03:30:00Z
gas,1672543800,0.0,2023-01-01T03:30:00Z
electricity,1672545600,0.451,2023-01-01T04:00:00Z
gas,1672545600,0.0,2023-01-01T04:00:00Z
electricity,1672547400,1.407,2023-01-01T04:30:00Z
gas,1672547400,0.0,2023-01-01T04:30:00Z
electricity,1672549200,0.304,2023-01-01T05:00:00Z
gas,1672549200,4.212,2023-01-01T05:00:00Z
electricity,1672551000,1.524,2023-01-01T05:30:00Z
gas,1672551000,11.881,2023-01-01T05:30:00Z
electricity,1672552800,1.054,2023-01-01T06:00:00Z
gas,1672552800,7.189,2023-01-01T06:00:00Z
electricity,1672554600,1.628,2023-01-01T06:30:00Z
gas,1672554600,12.156,2023-01-01T06:30:00Z
electricity,1672556400,0.878,2023-01-01T07:00:00Z
gas,1672556400,13.952,2023-01-01T07:00:00Z
electricity,1672558200,0.575,2023-01-01T07:30:00Z
gas,1672558200,7.977,2023-01-01T07:30:00Z
electricity,1672560000,0.718,2023-01-01T08:00:00Z
gas,1672560000,3.506,2023-01-01T08:00:00Z
electricity,1672561800,1.567,2023-01-01T08:30:00Z
gas,1672561800,10.196,2023-01-01T08:30:00Z
electricity,1672563600,1.024,2023-01-01T09:00:00Z
gas,1672563600,0.0,2023-01-01T09:00:00Z
electricity,1672565400,0.703,2023-01-01T09:30:00Z
gas,1672565400,0.0,2023-01-01T09:30:00Z
electricity,1672567200,0.694,2023-01-01T10:00:00Z
gas,1672567200,0.0,2023-01-01T10:00:00Z
electricity,1672569000,1.297,2023-01-01T10:30:00Z
gas,1672569000,0.0,2023-01-01T10:30:00Z
electricity,1672570800,1.558,2023-01-01T11:00:00Z
gas,1672570800,0.0,2023-01-01T11:00:00Z
electricity,1672572600,1.158,2023-01-01T11:30:00Z
gas,1672572600,0.0,2023-01-01T11:30:00Z
electricity,1672574400,1.069,2023-01-01T12:00:00Z
gas,1672574400,0.0,2023-01-01T12:00:00Z
electricity,1672576200,0.193,2023-01-01T12:30:00Z
gas,1672576200,0.0,2023-01-01T12:30:00Z
electricity,1672578000,0.589,2023-01-01T13:00:00Z
gas,1672578000,0.0,2023-01-01T13:00:00Z
electricity,1672579800,1.058,2023-01-01T13:30:00Z
gas,1672579800,0.0,2023-01-01T13:30:00Z
electricity,1672581600,1.064,2023-01-01T14:00:00Z
gas,1672581600,0.0,2023-01-01T14:00:00Z
electricity,1672583400,0.977,2023-01-01T14:30:00Z
gas,1672583400,0.0,2023-01-01T14:30:00Z
electricity,1672585200,0.66,2023-01-01T15:00:00Z
gas,1672585200,0.0,2023-01-01T15:00:00Z
electricity,1672587000,1.695,2023-01-01T15:30:00Z
gas,1672587000,0.0,2023-01-01T15:30:00Z
electricity,1672588800,1.095,2023-01-01T16:00:00Z
gas,1672588800,0.0,2023-01-01T16:00:00Z
electricity,1672590600,0.228,2023-01-01T16:30:00Z
gas,1672590600,0.0,2023-01-01T16:30:00Z
electricity,1672592400,0.159,2023-01-01T17:00:00Z
gas,1672592400,2.639,2023-01-01T17:00:00Z
electricity,1672594200,0.102,2023-01-01T17:30:00Z
gas,1672594200,14.286,2023-01-01T17:30:00Z
electricity,1672596000,0.143,2023-01-01T18:00:00Z
gas,1672596000,3.531,2023-01-01T18:00:00Z
electricity,1672597800,1.663,2023-01-01T18:30:00Z
gas,1672597800,7.135,2023-01-01T18:30:00Z
electricity,1672599600,0.154,2023-01-01T19:00:00Z
gas,1672599600,11.761,2023-01-01T19:00:00Z
electricity,1672601400,0.905,2023-01-01T19:30:00Z
gas,1672601400,14.267,2023-01-01T19:30:00Z
electricity,1672603200,1.537,2023-01-01T20:00:00Z
gas,1672603200,2.504,2023-01-01T20:00:00Z
electricity,1672605000,1.565,2023-01-01T20:30:00Z
gas,1672605000,4.057,2023-01-01T20:30:00Z
electricity,1672606800,0.131,2023-01-01T21:00:00Z
gas,1672606800,8.907,2023-01-01T21:00:00Z
electricity,1672608600,1.634,2023-01-01T21:30:00Z
gas,1672608600,3.278,2023-01-01T21:30:00Z
electricity,1672610400,0.096,2023-01-01T22:00:00Z
gas,1672610400,0.0,2023-01-01T22:00:00Z
electricity,1672612200,0.788,2023-01-01T22:30:00Z
gas,1672612200,0.0,2023-01-01T22:30:00Z
electricity,1672614000,1.132,2023-01-01T23:00:00Z
gas,1672614000,0.0,2023-01-01T23:00:00Z
electricity,1672615800,0.652,2023-01-01T23:30:00Z
gas,1672615800,0.0,2023-01-01T23:30:00Z
electricity,1672617600,1.465,2023-01-02T00:00:00Z
gas,1672617600,0.0,2023-01-02T00:00:00Z
electricity,1672619400,1.532,2023-01-02T00:30:00Z
gas,1672619400,0.0,2023-01-02T00:30:00Z
electricity,1672621200,1.179,2023-01-02T01:00:00Z
gas,1672621200,0.0,2023-01-02T01:00:00Z
electricity,1672623000,0.895,2023-01-02T01:30:00Z
gas,1672623000,0.0,2023-01-02T01:30:00Z
electricity,1672624800,1.024,2023-01-02T02:00:00Z
gas,1672624800,0.0,2023-01-02T02:00:00Z
electricity,1672626600,0.901,2023-01-02T02:30:00Z
gas,1672626600,0.0,2023-01-02T02:30:00Z
electricity,1672628400,0.663,2023-01-02T03:00:00Z
gas,1672628400,0.0,2023-01-02T03:00:00Z
electricity,1672630200,0.24,2023-01-02T03:30:00Z
gas,1672630200,0.0,2023-01-02T03:30:00Z
electricity,1672632000,0.565,2023-01-02T04:00:00Z
gas,1672632000,0.0,2023-01-02T04:00:00Z
electricity,1672633800,0.631,2023-01-02T04:30:00Z
gas,1672633800,0.0,2023-01-02T04:30:00Z
electricity,1672635600,1.768,2023-01-02T05:00:00Z
gas,1672635600,12.242,2023-01-02T05:00:00Z
electricity,1672637400,0.768,2023-01-02T05:30:00Z
gas,1672637400,14.666,2023-01-02T05:30:00Z
electricity,1672639200,1.294,2023-01-02T06:00:00Z
gas,1672639200,13.437,2023-01-02T06:00:00Z
electricity,1672641000,1.496,2023-01-02T06:30:00Z
gas,1672641000,4.612,2023-01-02T06:30:00Z
electricity,1672642800,0.267,2023-01-02T07:00:00Z
gas,1672642800,6.482,2023-01-02T07:00:00Z
electricity,1672644600,0.547,2023-01-02T07:30:00Z
gas,1672644600,9.453,2023-01-02T07:30:00Z
electricity,1672646400,1.692,2023-01-02T08:00:00Z
gas,1672646400,15.827,2023-01-02T08:00:00Z
electricity,1672648200,1.394,2023-01-02T08:30:00Z
gas,1672648200,3.496,2023-01-02T08:30:00Z
electricity,1672650000,1.764,2023-01-02T09:00:00Z
gas,1672650000,0.0,2023-01-02T09:00:00Z
electricity,1672651800,1.032,2023-01-02T09:30:00Z
gas,1672651800,0.0,2023-01-02T09:30:00Z
electricity,1672653600,0.535,2023-01-02T10:00:00Z
gas,1672653600,0.0,2023-01-02T10:00:00Z
electricity,1672655400,0.079,2023-01-02T10:30:00Z
gas,1672655400,0.0,2023-01-02T10:30:00Z
electricity,1672657200,0.647,2023-01-02T11:00:00Z
gas,1672657200,0.0,2023-01-02T11:00:00Z
electricity,1672659000,1.441,2023-01-02T11:30:00Z
gas,1672659000,0.0,2023-01-02T11:30:00Z
electricity,1672660800,0.621,2023-01-02T12:00:00Z
gas,1672660800,0.0,2023-01-02T12:00:00Z
electricity,1672662600,1.207,2023-01-02T12:30:00Z
gas,1672662600,0.0,2023-01-02T12:30:00Z
electricity,1672664400,0.895,2023-01-02T13:00:00Z
gas,1672664400,0.0,2023-01-02T13:00:00Z
electricity,1672666200,1.148,2023-01-02T13:30:00Z
gas,1672666200,0.0,2023-01-02T13:30:00Z
electricity,1672668000,1.782,2023-01-02T14:00:00Z
gas,1672668000,0.0,2023-01-02T14:00:00Z
electricity,1672669800,0.488,2023-01-02T14:30:00Z
gas,1672669800,0.0,2023-01-02T14:30:00Z
